"Hududlar bo`yicha shahar va qishloq aholisi soni",,,
"(yil boshiga; ming kishi)",,,
,,,
,"Jami aholi","shu jumladan:",
,,"shahar aholisi","qishloq aholisi"
2021*,,,
"O`zbekiston Respublikasi",34558.9,17487.5,17071.4
"Qoraqalpog`iston Respublikasi",1923.8,942.1,981.7
viloyatlar:,,,
Andijon,3188.2,1665.9,1522.3
Buxoro,1946.9,715.5,1231.4
Jizzax,1410.6,659.9,750.7
Qashqadaryo,3334.5,1433,1901.5
Navoiy,1013.8,495.7,518.1
Namangan,2867.4,1852.9,1014.5
Samarqand,3947.4,1458.6,2488.8
Surxondaryo,2681,971.4,1709.6
Sirdaryo,861.1,366.9,494.2
Toshkent,2994,1469.6,1524.4
Farg`ona,3819.9,2152,1667.9
Xorazm,1893.1,626.8,1266.3
"Toshkent sh.",2677.2,2677.2,0
2020,,,
"O`zbekiston Respublikasi",33905.2,17144.1,16761.1
"Qoraqalpog`iston Respublikasi",1898.3,930.5,967.8
viloyatlar:,,,
Andijon,3127.7,1633.9,1493.8
Buxoro,1923.9,709.5,1214.4
Jizzax,1382.1,648,734.1
Qashqadaryo,3280.4,1410.4,1870
Navoiy,997.1,487.7,509.4
Namangan,2810.8,1815.1,995.7
Samarqand,3877.4,1438.3,2439.1
Surxondaryo,2629.1,954,1675.1
Sirdaryo,846.3,361.3,485
Toshkent,2941.9,1446.7,1495.2
Farg`ona,3752,2117.7,1634.3
Xorazm,1866.5,619.3,1247.2
"Toshkent sh.",2571.7,2571.7,0
2019,,,
"O`zbekiston Respublikasi",33255.5,16806.7,16448.8
"Qoraqalpog`iston Respublikasi",1869.8,917.7,952.1
viloyatlar:,,,
Andijon,3066.9,1603.7,1463.2
Buxoro,1894.8,701.4,1193.4
Jizzax,1352.4,634.5,717.9
Qashqadaryo,3213.1,1383.6,1829.5
Navoiy,979.5,478.1,501.4
Namangan,2752.9,1777.6,975.3
Samarqand,3798.9,1414.7,2384.2
Surxondaryo,2569.9,910.6,1659.3
Sirdaryo,829.9,354.8,475.1
Toshkent,2898.5,1427.5,1471
Farg`ona,3683.3,2082.5,1600.8
Xorazm,1835.7,610.1,1225.6
"Toshkent sh.",2509.9,2509.9,-
2018,,,
"O`zbekiston Respublikasi",32656.7,16532.7,16124
"Qoraqalpog`iston Respublikasi",1842.3,905.5,936.8
viloyatlar:,,,
Andijon,3011.7,1576,1435.7
Buxoro,1870.2,698.6,1171.6
Jizzax,1325,622.2,702.8
Qashqadaryo,3148.4,1357.5,1790.9
Navoiy,958,467.6,490.4
Namangan,2699.6,1743.7,955.9
Samarqand,3720.1,1390.8,2329.3
Surxondaryo,2514.2,893.3,1620.9
Sirdaryo,815.9,350,465.9
Toshkent,2861.2,1411.5,1449.7
Farg`ona,3620.2,2049.9,1570.3
Xorazm,1805,601.2,1203.8
"Toshkent sh.",2464.9,2464.9,-
2017,,,
"O`zbekiston Respublikasi",32120.5,16250.8,15869.7
"Qoraqalpog`iston Respublikasi",1817.5,894.7,922.8
viloyatlar:,,,
Andijon,2962.5,1551.7,1410.8
Buxoro,1843.5,692,1151.5
Jizzax,1301,611.8,689.2
Qashqadaryo,3088.8,1326.3,1762.5
Navoiy,942.8,460.9,481.9
Namangan,2652.4,1716.6,935.8
Samarqand,3651.7,1372.8,2278.9
Surxondaryo,2462.3,877.6,1584.7
Sirdaryo,803.1,345.9,457.2
Toshkent,2829.3,1381.1,1448.2
Farg`ona,3564.8,2022.8,1542
Xorazm,1776.7,572.5,1204.2
"Toshkent sh.",2424.1,2424.1,-
2016,,,
"O`zbekiston Respublikasi",31575.3,15963.9,15611.4
